Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G01 勇士 vs. 攻城獅,2022/11/05,17:00,2022/11/05,19:00,false,臺北和平籃球館
G02 勇士 vs. 鋼鐵人,2022/11/06,17:00,2022/11/06,19:00,false,臺北和平籃球館
G03 夢想家 vs. 鋼鐵人,2022/11/12,14:30,2022/11/12,16:30,false,臺中洲際迷你蛋
G04 國王 vs. 領航猿,2022/11/12,17:00,2022/11/12,19:00,false,新北市立新莊體育館
G05 夢想家 vs. 勇士,2022/11/13,14:30,2022/11/13,16:30,false,臺中洲際迷你蛋
G06 國王 vs. 攻城獅,2022/11/13,17:00,2022/11/13,19:00,false,新北市立新莊體育館
G07 夢想家 vs. 國王,2022/11/19,14:30,2022/11/19,16:30,false,臺中洲際迷你蛋
G08 攻城獅 vs. 鋼鐵人,2022/11/19,17:00,2022/11/19,19:00,false,新竹縣體育館
G09 夢想家 vs. 領航猿,2022/11/20,14:30,2022/11/20,16:30,false,臺中洲際迷你蛋
G10 攻城獅 vs. 勇士,2022/11/20,17:00,2022/11/20,19:00,false,新竹縣體育館
G11 國王 vs. 勇士,2022/11/25,19:00,2022/11/25,21:00,false,新北市立新莊體育館
G12 國王 vs. 夢想家,2022/11/27,14:30,2022/11/27,16:30,false,新北市立新莊體育館
G13 鋼鐵人 vs. 領航猿,2022/11/27,17:00,2022/11/27,19:00,false,高雄市鳳山體育館
G14 鋼鐵人 vs. 攻城獅,2022/11/29,19:00,2022/11/29,21:00,false,高雄市鳳山體育館
G15 國王 vs. 領航猿,2022/12/02,19:00,2022/12/02,21:00,false,新北市立新莊體育館
G16 鋼鐵人 vs. 勇士,2022/12/03,14:30,2022/12/03,16:30,false,高雄市鳳山體育館
G17 攻城獅 vs. 夢想家,2022/12/03,17:00,2022/12/03,19:00,false,新竹縣體育館
G18 鋼鐵人 vs. 國王,2022/12/04,14:30,2022/12/04,16:30,false,高雄市鳳山體育館
G19 攻城獅 vs. 領航猿,2022/12/04,17:00,2022/12/04,19:00,false,新竹縣體育館
G20 夢想家 vs. 勇士,2022/12/06,19:00,2022/12/06,21:00,false,臺中洲際迷你蛋
G21 領航猿 vs. 攻城獅,2022/12/10,14:30,2022/12/10,16:30,false,桃園市立綜合體育館
G22 勇士 vs. 國王,2022/12/10,17:00,2022/12/10,19:00,false,臺北和平籃球館
G23 領航猿 vs. 鋼鐵人,2022/12/11,14:30,2022/12/11,16:30,false,桃園市立綜合體育館
G24 勇士 vs. 夢想家,2022/12/11,17:00,2022/12/11,19:00,false,臺北和平籃球館
G25 領航猿 vs. 國王,2022/12/17,14:30,2022/12/17,16:30,false,桃園市立綜合體育館
G26 勇士 vs. 鋼鐵人,2022/12/17,17:00,2022/12/17,19:00,false,臺北和平籃球館
G27 領航猿 vs. 夢想家,2022/12/18,14:30,2022/12/18,16:30,false,桃園市立綜合體育館
G28 勇士 vs. 攻城獅,2022/12/18,17:00,2022/12/18,19:00,false,臺北和平籃球館
G29 鋼鐵人 vs. 國王,2022/12/20,19:00,2022/12/20,21:00,false,高雄市鳳山體育館
G30 勇士 vs. 國王,2022/12/23,19:00,2022/12/23,21:00,false,臺北和平籃球館
G31 夢想家 vs. 鋼鐵人,2022/12/24,14:30,2022/12/24,16:30,false,臺中洲際迷你蛋
G32 領航猿 vs. 攻城獅,2022/12/24,17:00,2022/12/24,19:00,false,桃園市立綜合體育館
G33 夢想家 vs. 國王,2022/12/25,14:30,2022/12/25,16:30,false,臺中洲際迷你蛋
G34 領航猿 vs. 勇士,2022/12/25,17:00,2022/12/25,19:00,false,桃園市立綜合體育館
G35 攻城獅 vs. 鋼鐵人,2022/12/27,19:00,2022/12/27,21:00,false,新竹縣體育館
G36 攻城獅 vs. 夢想家,2022/12/31,14:30,2022/12/31,16:30,false,新竹縣體育館
G37 國王 vs. 鋼鐵人,2022/12/31,17:00,2022/12/31,19:00,false,新北市立新莊體育館
G38 攻城獅 vs. 領航猿,2023/01/01,14:30,2023/01/01,16:30,false,新竹縣體育館
G39 國王 vs. 勇士,2023/01/01,17:00,2023/01/01,19:00,false,新北市立新莊體育館
G40 鋼鐵人 vs. 領航猿,2023/01/06,19:00,2023/01/06,21:00,false,高雄市鳳山體育館
G41 攻城獅 vs. 國王,2023/01/07,19:00,2023/01/07,21:00,false,新竹縣體育館
G42 鋼鐵人 vs. 夢想家,2023/01/08,14:30,2023/01/08,16:30,false,高雄市鳳山體育館
G43 攻城獅 vs. 勇士,2023/01/08,17:00,2023/01/08,19:00,false,新竹縣體育館
G44 攻城獅 vs. 夢想家,2023/01/13,19:00,2023/01/13,21:00,false,新竹縣體育館
G45 鋼鐵人 vs. 勇士,2023/01/14,14:30,2023/01/14,16:30,false,高雄市鳳山體育館
G46 攻城獅 vs. 國王,2023/01/14,17:00,2023/01/14,19:00,false,新竹縣體育館
G47 領航猿 vs. 夢想家,2023/01/15,17:00,2023/01/15,19:00,false,桃園市立綜合體育館
G48 國王 vs. 鋼鐵人,2023/01/17,19:00,2023/01/17,21:00,false,新北市立新莊體育館
G49 夢想家 vs. 攻城獅,2023/01/28,14:30,2023/01/28,16:30,false,臺中洲際迷你蛋
G50 勇士 vs. 領航猿,2023/01/28,17:00,2023/01/28,19:00,false,臺北和平籃球館
G51 夢想家 vs. 國王,2023/01/29,14:30,2023/01/29,16:30,false,臺中洲際迷你蛋
G52 勇士 vs. 鋼鐵人,2023/01/29,17:00,2023/01/29,19:00,false,臺北和平籃球館
G53 領航猿 vs. 攻城獅,2023/01/31,19:00,2023/01/31,21:00,false,桃園市立綜合體育館
G54 鋼鐵人 vs. 夢想家,2023/02/03,19:00,2023/02/03,21:00,false,高雄市鳳山體育館
G55 勇士 vs. 國王,2023/02/04,19:00,2023/02/04,21:00,false,臺北和平籃球館
G56 攻城獅 vs. 鋼鐵人,2023/02/05,14:30,2023/02/05,16:30,false,新竹縣體育館
G57 勇士 vs. 夢想家,2023/02/05,17:00,2023/02/05,19:00,false,臺北和平籃球館
G58 攻城獅 vs. 領航猿,2023/02/07,19:00,2023/02/07,21:00,false,新竹縣體育館
G59 鋼鐵人 vs. 國王,2023/02/11,14:30,2023/02/11,16:30,false,高雄市鳳山體育館
G60 領航猿 vs. 勇士,2023/02/11,17:00,2023/02/11,19:00,false,桃園市立綜合體育館
G61 鋼鐵人 vs. 夢想家,2023/02/12,14:30,2023/02/12,16:30,false,高雄市鳳山體育館
G62 領航猿 vs. 攻城獅,2023/02/12,17:00,2023/02/12,19:00,false,桃園市立綜合體育館
G63 夢想家 vs. 領航猿,2023/02/17,19:00,2023/02/17,21:00,false,臺中洲際迷你蛋
G64 夢想家 vs. 鋼鐵人,2023/02/18,19:00,2023/02/18,21:00,false,臺中洲際迷你蛋
G65 攻城獅 vs. 國王,2023/02/19,14:30,2023/02/19,16:30,false,新竹縣體育館
G66 勇士 vs. 領航猿,2023/02/19,17:00,2023/02/19,19:00,false,臺北和平籃球館
G67 勇士 vs. 攻城獅,2023/02/21,19:00,2023/02/21,21:00,false,臺北和平籃球館
G68 勇士 vs. 夢想家,2023/02/24,19:00,2023/02/24,21:00,false,臺北和平籃球館
G69 攻城獅 vs. 鋼鐵人,2023/02/25,14:30,2023/02/25,16:30,false,新竹縣體育館
G70 領航猿 vs. 國王,2023/02/25,17:00,2023/02/25,19:00,false,桃園市立綜合體育館
G71 攻城獅 vs. 夢想家,2023/02/26,14:30,2023/02/26,16:30,false,新竹縣體育館
G72 領航猿 vs. 勇士,2023/02/26,17:00,2023/02/26,19:00,false,桃園市立綜合體育館
G73 領航猿 vs. 國王,2023/03/04,17:00,2023/03/04,19:00,false,桃園市立綜合體育館
G74 夢想家 vs. 攻城獅,2023/03/05,14:30,2023/03/05,16:30,false,臺中洲際迷你蛋
G75 領航猿 vs. 鋼鐵人,2023/03/05,17:00,2023/03/05,19:00,false,桃園市立綜合體育館
G76 國王 vs. 夢想家,2023/03/07,19:00,2023/03/07,21:00,false,新北市立新莊體育館
G77 鋼鐵人 vs. 攻城獅,2023/03/11,14:30,2023/03/11,16:30,false,高雄市鳳山體育館
G78 國王 vs. 夢想家,2023/03/11,17:00,2023/03/11,19:00,false,新北市立新莊體育館
G79 國王 vs. 勇士,2023/03/12,17:00,2023/03/12,19:00,false,新北市立新莊體育館
G80 領航猿 vs. 夢想家,2023/03/18,14:30,2023/03/18,16:30,false,桃園市立綜合體育館
G81 勇士 vs. 國王,2023/03/18,17:00,2023/03/18,19:00,false,臺北和平籃球館
G82 領航猿 vs. 鋼鐵人,2023/03/19,14:30,2023/03/19,16:30,false,桃園市立綜合體育館
G83 勇士 vs. 攻城獅,2023/03/19,17:00,2023/03/19,19:00,false,臺北和平籃球館
G84 夢想家 vs. 國王,2023/03/24,19:00,2023/03/24,21:00,false,臺中洲際迷你蛋
G85 鋼鐵人 vs. 勇士,2023/03/25,19:00,2023/03/25,21:00,false,高雄市鳳山體育館
G86 夢想家 vs. 攻城獅,2023/03/26,14:30,2023/03/26,16:30,false,臺中洲際迷你蛋
G87 鋼鐵人 vs. 領航猿,2023/03/26,17:00,2023/03/26,19:00,false,高雄市鳳山體育館
G88 國王 vs. 領航猿,2023/03/28,19:00,2023/03/28,21:00,false,新北市立新莊體育館
G89 夢想家 vs. 勇士,2023/04/01,14:30,2023/04/01,16:30,false,臺中洲際迷你蛋
G90 國王 vs. 領航猿,2023/04/01,17:00,2023/04/01,19:00,false,新北市立新莊體育館
G91 夢想家 vs. 鋼鐵人,2023/04/02,14:30,2023/04/02,16:30,false,臺中洲際迷你蛋
G92 國王 vs. 攻城獅,2023/04/02,17:00,2023/04/02,19:00,false,新北市立新莊體育館
G93 領航猿 vs. 勇士,2023/04/04,17:00,2023/04/04,19:00,false,桃園市立綜合體育館
G94 鋼鐵人 vs. 攻城獅,2023/04/08,14:30,2023/04/08,16:30,false,高雄市鳳山體育館
G95 領航猿 vs. 國王,2023/04/08,17:00,2023/04/08,19:00,false,桃園市立綜合體育館
G96 鋼鐵人 vs. 勇士,2023/04/09,14:30,2023/04/09,16:30,false,高雄市鳳山體育館
G97 領航猿 vs. 夢想家,2023/04/09,17:00,2023/04/09,19:00,false,桃園市立綜合體育館
G98 領航猿 vs. 鋼鐵人,2023/04/14,19:00,2023/04/14,21:00,false,桃園市立綜合體育館
G99 夢想家 vs. 攻城獅,2023/04/15,14:30,2023/04/15,16:30,false,臺中洲際迷你蛋
G100 國王 vs. 勇士,2023/04/15,17:00,2023/04/15,19:00,false,新北市立新莊體育館
G101 夢想家 vs. 領航猿,2023/04/16,14:30,2023/04/16,16:30,false,臺中洲際迷你蛋
G102 國王 vs. 鋼鐵人,2023/04/16,17:00,2023/04/16,19:00,false,新北市立新莊體育館
G103 鋼鐵人 vs. 攻城獅,2023/04/22,14:30,2023/04/22,16:30,false,高雄市鳳山體育館
G104 勇士 vs. 夢想家,2023/04/22,17:00,2023/04/22,19:00,false,臺北和平籃球館
G105 鋼鐵人 vs. 國王,2023/04/23,14:30,2023/04/23,16:30,false,高雄市鳳山體育館
G106 勇士 vs. 領航猿,2023/04/23,17:00,2023/04/23,19:00,false,臺北和平籃球館
G107 夢想家 vs. 勇士,2023/04/29,14:30,2023/04/29,16:30,false,臺中洲際迷你蛋
G108 國王 vs. 攻城獅,2023/04/29,17:00,2023/04/29,19:00,false,新北市立新莊體育館
G109 夢想家 vs. 領航猿,2023/04/30,14:30,2023/04/30,16:30,false,臺中洲際迷你蛋
G110 國王 vs. 鋼鐵人,2023/04/30,17:00,2023/04/30,19:00,false,新北市立新莊體育館
G111 攻城獅 vs. 勇士,2023/05/01,17:00,2023/05/01,19:00,false,新竹縣體育館
G112 攻城獅 vs. 領航猿,2023/05/05,19:00,2023/05/05,21:00,false,新竹縣體育館
G113 國王 vs. 夢想家,2023/05/06,14:30,2023/05/06,16:30,false,新北市立新莊體育館
G114 勇士 vs. 鋼鐵人,2023/05/06,17:00,2023/05/06,19:00,false,臺北和平籃球館
G115 國王 vs. 攻城獅,2023/05/07,14:30,2023/05/07,16:30,false,新北市立新莊體育館
G116 勇士 vs. 領航猿,2023/05/07,17:00,2023/05/07,19:00,false,臺北和平籃球館
G117 鋼鐵人 vs. 領航猿,2023/05/13,14:30,2023/05/13,16:30,false,高雄市鳳山體育館
G118 攻城獅 vs. 國王,2023/05/13,17:00,2023/05/13,19:00,false,新竹縣體育館
G119 鋼鐵人 vs. 夢想家,2023/05/14,14:30,2023/05/14,16:30,false,高雄市鳳山體育館
G120 攻城獅 vs. 勇士,2023/05/14,17:00,2023/05/14,19:00,false,新竹縣體育館
